id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"463","post","image-15","","","no","","","index","","","","","","","","","","","",""
"1343","post","image-16","","","no","","","index","","","","","","","","","","","",""
"1345","post","image-19","","","no","","","index","","","","","","","","","","","",""
"1626","post","ai-education","","","no","","","index","","","","","","","","","","","",""
"1628","post","bulgarian-startups-using-ai","","","no","","","index","","","","","","","","","","","",""
"1629","post","role-of-the-gov","","","no","","","index","","","","","","","","","","","",""
"1659","post","imageblog","","","no","","","index","","","","","","","","","","","",""
"1672","post","image-57","","","no","","","index","","","","","","","","","","","",""
"1676","post","image-58","","","no","","","index","","","","","","","","","","","",""
"2304","post","image-21","","","no","","","index","","","","","","","","","","","",""
"2899","post","info-11-1","","","no","","","","","","","","","","","","","","",""
"2901","post","info-11-1-1","","","no","","","","","","","","","","","","","","",""
"2903","post","info-11-1-1-jpg","","","no","","","","","","","","","","","","","","",""
"2906","post","info-11-1-1-150x150","","","no","","","","","","","","","","","","","","",""
"2908","post","info-11-1-1-150x150-jpg","","","no","","","","","","","","","","","","","","",""
"2909","post","info-11-1-1-233x300","","","no","","","","","","","","","","","","","","",""
"2911","post","info-11-1-1-233x300-jpg","","","no","","","","","","","","","","","","","","",""
"2913","post","info-11-1-1-768x989","","","no","","","","","","","","","","","","","","",""
"2915","post","info-11-1-1-768x989-jpg","","","no","","","","","","","","","","","","","","",""
"2918","post","info-11-1-1-795x1024","","","no","","","","","","","","","","","","","","",""
"2920","post","info-11-1-1-795x1024-jpg","","","no","","","","","","","","","","","","","","",""
"2922","post","info-11-1-80x80","","","no","","","","","","","","","","","","","","",""
"2924","post","info-11-1-106x106","","","no","","","","","","","","","","","","","","",""
"2927","post","info-11-1-150x150","","","no","","","","","","","","","","","","","","",""
"2928","post","info-11-1-233x300","","","no","","","","","","","","","","","","","","",""
"2930","post","info-11-1-250x300","","","no","","","","","","","","","","","","","","",""
"2932","post","info-11-1-390x290","","","no","","","","","","","","","","","","","","",""
"2934","post","info-11-1-400x250","","","no","","","","","","","","","","","","","","",""
"2935","post","info-11-1-450x450","","","no","","","","","","","","","","","","","","",""
"2937","post","info-11-1-560x560","","","no","","","","","","","","","","","","","","",""
"2939","post","info-11-1-570x350","","","no","","","","","","","","","","","","","","",""
"2941","post","info-11-1-768x989","","","no","","","","","","","","","","","","","","",""
"2944","post","info-11-1-795x1024","","","no","","","","","","","","","","","","","","",""
"2946","post","info-11-1-868x550","","","no","","","","","","","","","","","","","","",""
"2948","post","info-11-1-868x600","","","no","","","","","","","","","","","","","","",""
"2950","post","info-11-1-868x720","","","no","","","","","","","","","","","","","","",""
"2952","post","project-3-1","","","no","","","","","","","","","","","","","","",""
"2955","post","project-3-1-1","","","no","","","","","","","","","","","","","","",""
"3326","post","cropped-favicaon-png","","","no","","","","","","","","","","","","","","",""
"3386","post","3385","","","no","","","","","","","","","","","","","","",""
"3457","post","3456","","","no","","","","","","","","","","","","","","",""
"3466","post","3465","","","no","","","","","","","","","","","","","","",""
"3478","post","3477","","","no","","","","","","","","","","","","","","",""
"3493","post","3492","","","no","","","","","","","","","","","","","","",""
"3511","post","3510","","","no","","","","","","","","","","","","","","",""
"3526","post","3525","","","no","","","","","","","","","","","","","","",""
"3528","post","3527","","","no","","","","","","","","","","","","","","",""
"3540","post","3539","","","no","","","","","","","","","","","","","","",""
"3566","post","image-59","","","no","","","index","","","","","","","","","","","",""
"3930","post","cropped-041db813-16af-4a5b-856a-a48d55b7cb8e-jpg","","","no","","","","","","","","","","","","","","",""
"3933","post","favicaon-3","","","no","","","","","","","","","","","","","","",""
"3937","post","cropped-e35ec2c1-c062-41ea-9f96-1e19f83df7ed-jpg","","","no","","","","","","","","","","","","","","",""
"3942","post","ai-project-management","","","no","","","","","","","","","","","","","","",""
"3956","post","image-4","","","no","","","","","","","","","","","","","","",""
"4001","post","image-32","","","no","","","","","","","","","","","","","","",""
"4002","post","image-35","","","no","","","","","","","","","","","","","","",""
"4085","post","varna-ai-security-dashboard","","","no","","","","","","","","","","","","","","",""
"4086","post","generated-image-2025-09-182","","","no","","","","","","","","","","","","","","",""
"4087","post","generated-image-2025-09-18","","","no","","","","","","","","","","","","","","",""
"4088","post","generated-image-2025-09-18-2","","","no","","","","","","","","","","","","","","",""
"4089","post","ewrrwr","","","no","","","","","","","","","","","","","","",""
"4090","post","generated-image-2025-09-1118","","","no","","","","","","","","","","","","","","",""
"4095","post","generated-image-2025-09-18222","","","no","","","","","","","","","","","","","","",""
"4098","post","silva-berlin-client-testimonial-varna-ai-project-management-transformation-gdpr-compliance","","","no","","","","","","","","","","","","","","",""
"4099","post","german-operations-director-varna-ai-client-testimonial-dr-markus-schneider","","","no","","","","","","","","","","","","","","",""
"4106","post","professional-headshot-of-anna-petrova-project-manager-from-sofia-bulgaria-varna-ai-client-testimonial-for-gdpr-compliant-project-management","","","no","","","","","","","","","","","","","","",""
"4137","post","elena-dimitrova-varna-coo-professional-headshot-varna-ai-local-client-testimonial","","","no","","","","","","","","","","","","","","",""
"4139","post","georgi-ivanov-plovdiv-startup-founder-testimonial","","","no","","","","","","","","","","","","","","",""
"4140","post","katharina-hoffmann-hamburg-operations-manager-testimonial","","","no","","","","","","","","","","","","","","",""
"4141","post","stefan-kolev-varna-ceo-testimonial","","","no","","","","","","","","","","","","","","",""
"4144","post","vulnerability-management-dashboard-varna-ai-cybersecurity-scan-patch-prioritize-solutions","","","no","","","","","","","","","","","","","","",""
"4146","post","security-awareness-training-human-firewall-varna-ai-cybersecurity-education-for-bulgarian-german-businesses","","","no","","","","","","","","","","","","","","",""
"4148","post","ransomware-defense-2025-backup-isolation-recovery-varna-ai-advanced-cybersecurity-protection","","","no","","","","","","","","","","","","","","",""
"4150","post","ransomware-defense-2025-backup-isolation-recovery-varna-ai-advanced-cybersecurity-protection-2","","","no","","","","","","","","","","","","","","",""
"4155","post","varna-ai-dashboard-interface-advanced-system-monitoring-analytics-platform-for-business-intelligence","","","no","","","","","","","","","","","","","","",""
"4211","post","varnaai-leading-ai-business-automation-solutions-in-bulgaria","","","no","","","","","","","","","","","","","","",""
"4233","post","seo-varnaai-com-optimization-dashboard","","","no","","","","","","","","","","","","","","",""
"4247","post","project-managers-ai-gdpr-compliance-dashboard-sme-varnaai","","","no","","","","","","","","","","","","","","",""
"4261","post","ai-powered-threat-detection-uba-ndr-cybersecurity-dashboard-varnaai-bulgaria","","","no","","","","","","","","","","","","","","",""
"4263","post","endpoint-security-best-practices-remote-teams-vpn-mfa-cybersecurity-varnaai-bulgaria-2025","","","no","","","","","","","","","","","","","","",""
"4266","post","incident-response-plan-template-build-test-improve-cybersecurity-emergency-workflow-varnaai-bulgaria-2025","","","no","","","","","","","","","","","","","","",""
"4268","post","ai-business-transformation-varna-2025-smart-city-neural-networks-automation-varnaai-bulgaria-digital-evolution","","","no","","","","","","","","","","","","","","",""
"4271","post","generated-image-2025-09-23","","","no","","","","","","","","","","","","","","",""
"4273","post","generated-image-2025-09-23-1","","","no","","","","","","","","","","","","","","",""
"4297","post","varnaai-leading-ai-business-automation-solutions-in-bulgaria-2","","","no","","","","","","","","","","","","","","",""
"4338","post","varna-ai-enhanced-calendar-interface-smart-business-scheduling-platform","","","no","","","","","","","","","","","","","","",""
"4341","post","varna-ai-workflow-automation-enterprise-business-process-integration","","","no","","","","","","","","","","","","","","",""
"4343","post","complete-ai-business-ecosystem-five-specialized-platforms-for-european-smes","","","no","","","","","","","","","","","","","","",""
"4408","post","varna-ai-secure-project-manager-gdpr-compliant-sme-dashboard-interface","","","no","","","","","","","","","","","","","","",""
"4415","post","ai-marketing-automation-customer-behavior-analytics-dashboard","","","no","","","","","","","","","","","","","","",""
"4454","post","varnaai-leading-ai-business-automation-solutions-in-bulgaria-3","","","no","","","","","","","","","","","","","","",""
"4530","post","pioneering-the-future-of-secure-digital-transformation","","","no","","","","","","","","","","","","","","",""
"4531","post","pioneering-the-future-of-secure-digital-transformation-2","","","no","","","","","","","","","","","","","","",""
"4532","post","pioneering-the-future-of-secure-digital-transformation-3","","","no","","","","","","","","","","","","","","",""
"4533","post","pioneering-the-future-of-secure-digital-transformation-4","","","no","","","","","","","","","","","","","","",""
"4534","post","pioneering-the-future-of-secure-digital-transformation-5","","","no","","","","","","","","","","","","","","",""
"4573","post","varna-ai-project-management-dashboard","","","no","","","","","","","","","","","","","","",""
"4587","post","secure-gdpr-compliant-ai-solutions-illustration","","","no","","","","","","","","","","","","","","",""
"4605","post","firewall-migration-2025-strategien-unternehmenssicherheit","","","no","","","","","","","","","","","","","","",""
"316293","post","ai-education-3","","","no","","","","","","","","","","","","","","",""
"3888","post","generated-image-2025-10-04-3","","","no","","","","","","","","","","","","","","",""
"3894","post","ot-ics-security-hero","","","no","","","","","","","","","","","","","","",""
"3902","post","generated-image-2025-10-05-1","","","no","","","","","","","","","","","","","","",""
"3903","post","generated-image-2025-10-05-1-2","","","no","","","","","","","","","","","","","","",""
"4617","post","zero-trust-architecture-for-smbs-practical-implementation-guide-2025","","","no","","","","","","","","","","","","","","",""
"4620","post","ai-cybersecurity-trends-2025-business-guide","","","no","","","","","","","","","","","","","","",""
"4623","post","migraciya-zashtitni-steni-strategii-2025-bulgaria","","","no","","","","","","","","","","","","","","",""
"4629","post","wie-ki-bulgarische-unternehmen-transformiert-ein-leitfaden-fuer-2025-2","","","no","","","","","","","","","","","","","","",""
"4633","post","ai-трансформира-български-бизнес","","","no","","","","","","","","","","","","","","",""
"4672","post","secure-ai-project-management-varna-ai","","","no","","","","","","","","","","","","","","",""
"4689","post","secure-ai-contact-varna-ai","","","no","","","","","","","","","","","","","","",""
"4715","post","secure-ai-solutions-for-gdpr-compliant-smes-in-bulgaria-and-germany","","","no","","","","","","","","","","","","","","",""
"4720","post","secure-ai-saas-pricing-compliance-ready-cloud-security","","","no","","","","","","","","","","","","","","",""
"4725","post","varna-ai-reviews-top-10","","","no","","","","","","","","","","","","","","",""
"4730","post","5-secure-ai-services-gdpr-compliant","","","no","","","","","","","","","","","","","","",""
"4735","post","secure-ai-project-management-saas","","","no","","","","","","","","","","","","","","",""
"4752","post","ai-privacy-policy-gdpr","","","no","","","","","","","","","","","","","","",""
"4755","post","ai-cookie-policy-gdpr-eu-ai-act-compliance","","","no","","","","","","","","","","","","","","",""
"4784","post","chatgpt-image-oct-4-2025-04_41_07-pm","","","no","","","","","","","","","","","","","","",""
"4805","post","chatgpt-image-oct-4-2025-02_19_04-pm","","","no","","","","","","","","","","","","","","",""
"4808","post","agentic-ai-applications-dashboard","","","no","","","","","","","","","","","","","","",""
"4816","post","ai-marketing-automation-hero","","","no","","","","","","","","","","","","","","",""
"4821","post","generated-image-2025-10-05","","","no","","","","","","","","","","","","","","",""
"4822","post","generated-image-2025-10-05-2","","","no","","","","","","","","","","","","","","",""
"4827","post","how-bulgarian-startups-are-using-ai-for-global-innovation","","","no","","","","","","","","","","","","","","",""
"316234","post","generated-image-2025-10-04-2","","","no","","","","","","","","","","","","","","",""
"316239","post","ki-risikovorhersage-projektmanagement-dashboard-2025","","","no","","","","","","","","","","","","","","",""
"316371","post","chatgpt-image-oct-4-2025-05_52_40-pm","","","no","","","","","","","","","","","","","","",""
"316372","post","ai-driven-personalization-infographic","","","no","","","","","","","","","","","","","","",""
"316381","post","generated-image-2025-10-04-1","","","no","","","","","","","","","","","","","","",""
"316431","post","bulgarian-ai-strategy-2025","","","no","","","","","","","","","","","","","","",""
"316455","post","generated-image-2025-10-04","","","no","","","","","","","","","","","","","","",""
"316504","post","ai-debugging-tools-and-techniques-ultimate-guide-2025","","","no","","","","","","","","","","","","","","",""
"316508","post","top-5-ways-ai-agents-transform-workplace-productivity","","","no","","","","","","","","","","","","","","",""
"316592","post","generated-image-2025-10-11","","","no","","","","","","","","","","","","","","",""
"316593","post","generated-image-2025-10-11-2","","","no","","","","","","","","","","","","","","",""
"316604","post","cropped-generated-image-2025-10-12-jpg","","","no","","","","","","","","","","","","","","",""
"316607","post","cropped-varna-ai-secure-ai-project-management-automation-saas-webp","","","no","","","","","","","","","","","","","","",""
"316612","post","varna-ai-european-ai-project-management-platform","","","no","","","","","","","","","","","","","","",""
"316623","post","generated-image-2025-10-17","","","no","","","","","","","","","","","","","","",""
"316628","post","secure-ai-project-management-for-european-smes","","","no","","","","","","","","","","","","","","",""
"316641","post","gdpr-compliant-ai-for-smes-varna-ai","","","no","","","","","","","","","","","","","","",""
"316646","post","chatgpt-image-oct-24-2025-01_43_13-pm","","","no","","","","","","","","","","","","","","",""
"316647","post","chatgpt-image-oct-24-2025-01_43_13-pm-2","","","no","","","","","","","","","","","","","","",""
"316662","post","gdpr-ai-hosting-europe-2","","","no","","","","","","","","","","","","","","",""
"316663","post","gdpr-ai-hosting-europe-data-centers-sofia-frankfurt","","","no","","","","","","","","","","","","","","",""
"316679","post","secure-ai-solutions","","","no","","","","","","","","","","","","","","",""
"316834","post","data-protection-security-icon-varnaai-cybersecurity","","","no","","","","","","","","","","","","","","",""
"316835","post","biometric-fingerprint-recognition-icon-ai-security-authentication","","","no","","","","","","","","","","","","","","",""
"316838","post","network-connection-pattern-icon-varnaai-cloud-infrastructure","","","no","","","","","","","","","","","","","","",""
"316844","post","custom-ai-solutions-settings-icon-varnaai-configuration","","","no","","","","","","","","","","","","","","",""
"316845","post","security-compliance-lock-icon-gdpr-data-protection","","","no","","","","","","","","","","","","","","",""
"316847","post","cybersecurity-compliance-shield-icon-ai-powered-threat-detection","","","no","","","","","","","","","","","","","","",""
