id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"410","post","image-2","","","no","","","index","","","","","","","","","","","",""
"463","post","image-15","","","no","","","index","","","","","","","","","","","",""
"1343","post","image-16","","","no","","","index","","","","","","","","","","","",""
"1345","post","image-19","","","no","","","index","","","","","","","","","","","",""
"1626","post","ai-education","","","no","","","index","","","","","","","","","","","",""
"1628","post","bulgarian-startups-using-ai","","","no","","","index","","","","","","","","","","","",""
"1629","post","role-of-the-gov","","","no","","","index","","","","","","","","","","","",""
"1659","post","imageblog","","","no","","","index","","","","","","","","","","","",""
"1665","post","image-56","","","no","","","index","","","","","","","","","","","",""
"1672","post","image-57","","","no","","","index","","","","","","","","","","","",""
"1676","post","image-58","","","no","","","index","","","","","","","","","","","",""
"2304","post","image-21","","","no","","","index","","","","","","","","","","","",""
"3566","post","image-59","","","no","","","index","","","","","","","","","","","",""
"3888","post","generated-image-2025-10-04-3","","","no","","","","","","","","","","","","","","",""
"3894","post","ot-ics-security-hero","","","no","","","","","","","","","","","","","","",""
"4144","post","vulnerability-management-dashboard-varna-ai-cybersecurity-scan-patch-prioritize-solutions","","","no","","","","","","","","","","","","","","",""
"4146","post","security-awareness-training-human-firewall-varna-ai-cybersecurity-education-for-bulgarian-german-businesses","","","no","","","","","","","","","","","","","","",""
"4148","post","ransomware-defense-2025-backup-isolation-recovery-varna-ai-advanced-cybersecurity-protection","","","no","","","","","","","","","","","","","","",""
"4247","post","project-managers-ai-gdpr-compliance-dashboard-sme-varnaai","","","no","","","","","","","","","","","","","","",""
"4261","post","ai-powered-threat-detection-uba-ndr-cybersecurity-dashboard-varnaai-bulgaria","","","no","","","","","","","","","","","","","","",""
"4263","post","endpoint-security-best-practices-remote-teams-vpn-mfa-cybersecurity-varnaai-bulgaria-2025","","","no","","","","","","","","","","","","","","",""
"4266","post","incident-response-plan-template-build-test-improve-cybersecurity-emergency-workflow-varnaai-bulgaria-2025","","","no","","","","","","","","","","","","","","",""
"4268","post","ai-business-transformation-varna-2025-smart-city-neural-networks-automation-varnaai-bulgaria-digital-evolution","","","no","","","","","","","","","","","","","","",""
"4271","post","generated-image-2025-09-23","","","no","","","","","","","","","","","","","","",""
"4273","post","generated-image-2025-09-23-1","","","no","","","","","","","","","","","","","","",""
"4408","post","varna-ai-secure-project-manager-gdpr-compliant-sme-dashboard-interface","","","no","","","","","","","","","","","","","","",""
"4587","post","secure-gdpr-compliant-ai-solutions-illustration","","","no","","","","","","","","","","","","","","",""
"4605","post","firewall-migration-2025-strategien-unternehmenssicherheit","","","no","","","","","","","","","","","","","","",""
"4617","post","zero-trust-architecture-for-smbs-practical-implementation-guide-2025","","","no","","","","","","","","","","","","","","",""
"4620","post","ai-cybersecurity-trends-2025-business-guide","","","no","","","","","","","","","","","","","","",""
"4623","post","migraciya-zashtitni-steni-strategii-2025-bulgaria","","","no","","","","","","","","","","","","","","",""
"4629","post","wie-ki-bulgarische-unternehmen-transformiert-ein-leitfaden-fuer-2025-2","","","no","","","","","","","","","","","","","","",""
"4633","post","ai-трансформира-български-бизнес","","","no","","","","","","","","","","","","","","",""
"4778","post","secure-ai-for-smes","","","no","","","","","","","","","","","","","","",""
"4784","post","chatgpt-image-oct-4-2025-04_41_07-pm","","","no","","","","","","","","","","","","","","",""
"4805","post","chatgpt-image-oct-4-2025-02_19_04-pm","","","no","","","","","","","","","","","","","","",""
"4808","post","agentic-ai-applications-dashboard","","","no","","","","","","","","","","","","","","",""
"4816","post","ai-marketing-automation-hero","","","no","","","","","","","","","","","","","","",""
"4821","post","generated-image-2025-10-05","","","no","","","","","","","","","","","","","","",""
"4822","post","generated-image-2025-10-05-2","","","no","","","","","","","","","","","","","","",""
"316234","post","generated-image-2025-10-04-2","","","no","","","","","","","","","","","","","","",""
"316239","post","ki-risikovorhersage-projektmanagement-dashboard-2025","","","no","","","","","","","","","","","","","","",""
"316293","post","ai-education-3","","","no","","","","","","","","","","","","","","",""
"316371","post","chatgpt-image-oct-4-2025-05_52_40-pm","","","no","","","","","","","","","","","","","","",""
"316372","post","ai-driven-personalization-infographic","","","no","","","","","","","","","","","","","","",""
"316381","post","generated-image-2025-10-04-1","","","no","","","","","","","","","","","","","","",""
"316384","post","ai-agents-vs-traditional-automation-dashboard","","","no","","","","","","","","","","","","","","",""
"316431","post","bulgarian-ai-strategy-2025","","","no","","","","","","","","","","","","","","",""
"316455","post","generated-image-2025-10-04","","","no","","","","","","","","","","","","","","",""
"316465","post","generated-image-2025-10-05-2-2","","","no","","","","","","","","","","","","","","",""
"6","post","home","Digital Marketing Bulgaria | GDPR-Secure AI Solutions","Boost your SME with digital marketing Bulgaria. GDPR-secure AI campaigns deliver 4x ROI and lower costs. Start your free consult today.","no","digital marketing Bulgaria,AI marketing Bulgaria,online marketing Bulgaria,digital growth strategies,Varna digital agency","100","index","","","","","","","","","","","",""
"3902","post","generated-image-2025-10-05-1","","","no","","","","","","","","","","","","","","",""
"3903","post","generated-image-2025-10-05-1-2","","","no","","","","","","","","","","","","","","",""
"4827","post","how-bulgarian-startups-are-using-ai-for-global-innovation","","","no","","","","","","","","","","","","","","",""
"316153","post","secure-ai-services","7 Proven Secure AI Services Transforming Bulgarian &amp; German SMEs in 2025","Discover 7 proven secure AI services for Bulgarian and German SMEs. GDPR-compliant web development, SEO automation, PPC, email marketing, and content creation. Transform your business with Varna AI's trusted solutions.","no","secure AI services,secure AI services Bulgaria,сигурни AI услуги,sichere KI-Dienste,GDPR-compliant AI solutions,AI services for SMEs,secure digital marketing,AI-powered SEO automation","87","index","","","","","","","","","","","https://aimarketingbg.com/secure-ai-services/","301"
"316154","post","about-ai-marketing-bg","About Us | AI Marketing BG – Secure AI Marketing for SMEs","AI Marketing BG helps SMEs in Bulgaria &amp; Germany with secure, GDPR-compliant AI marketing solutions. Learn who we are and who we serve.","no","AI Marketing BG,GDPR-compliant AI marketing,secure AI marketing for SMEs,trusted AI marketing partner Bulgaria,AI-driven SME growth solutions,AI маркетинг България","82","index","","","","","","","","","","","https://aimarketingbg.com/about-ai-marketing-bg/","301"
